rank,id,event_cause,on_corridor,duration_min,cohort_median,fence,excess_ratio,kind
69,FKID003026,water_logging,True,997.15,102.54,620.59,9.72,ticket_artifact
70,FKID007569,others,True,799.63,82.55,398.13,9.69,ticket_artifact
71,FKID003025,water_logging,True,984.97,102.54,620.59,9.61,ticket_artifact
72,FKID005235,others,True,695.03,82.55,398.13,8.42,ticket_artifact
73,FKID003269,water_logging,True,841.56,102.54,620.59,8.21,ticket_artifact
74,FKID000477,water_logging,False,1043.4,130.15,645.14,8.02,ticket_artifact
75,FKID000480,water_logging,False,1039.96,130.15,645.14,7.99,ticket_artifact
76,FKID004682,others,False,392.16,49.21,332.13,7.97,ticket_artifact
77,FKID006602,road_conditions,True,1389.0,175.5,671.56,7.91,ticket_artifact
78,FKID003621,water_logging,False,1006.17,130.15,645.14,7.73,ticket_artifact
79,FKID003998,others,True,623.15,82.55,398.13,7.55,ticket_artifact
80,FKID000457,tree_fall,True,628.01,84.58,548.67,7.43,ticket_artifact
81,FKID000732,others,True,611.39,82.55,398.13,7.41,ticket_artifact
82,FKID002898,water_logging,True,759.0,102.54,620.59,7.4,ticket_artifact
83,FKID003569,tree_fall,True,625.24,84.58,548.67,7.39,ticket_artifact
84,FKID006160,others,True,606.3,82.55,398.13,7.34,ticket_artifact
85,FKID003914,water_logging,False,948.74,130.15,645.14,7.29,ticket_artifact
86,FKID003281,water_logging,False,846.77,130.15,645.14,6.51,ticket_artifact
87,FKID003249,water_logging,False,831.4,130.15,645.14,6.39,ticket_artifact
88,FKID000283,water_logging,False,820.88,130.15,645.14,6.31,ticket_artifact
89,FKID007464,others,True,514.82,82.55,398.13,6.24,ticket_artifact
90,FKID007557,others,True,510.95,82.55,398.13,6.19,ticket_artifact
91,FKID004458,road_conditions,True,1080.06,175.5,671.56,6.15,ticket_artifact
92,FKID004615,others,True,452.12,82.55,398.13,5.48,ticket_artifact
93,FKID006419,others,True,425.98,82.55,398.13,5.16,ticket_artifact
94,FKID001111,others,True,425.94,82.55,398.13,5.16,ticket_artifact
95,FKID004551,road_conditions,True,875.35,175.5,671.56,4.99,ticket_artifact
96,FKID007887,others,True,406.33,82.55,398.13,4.92,ticket_artifact
97,FKID006578,road_conditions,True,773.96,175.5,671.56,4.41,ticket_artifact
