id,event_cause,event_type,status,priority,requires_road_closure,corridor,veh_type,police_station,zone,junction,latitude,longitude,description,start_datetime,closed_datetime,start_hour,closure_flag,on_corridor,near_24h_cap,desc_highway,desc_multiple,desc_signal,duration_min
FKID000057,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,private_car,Mahadevapura,Unknown,Unknown,12.9848257,77.7527586,Gear jam not moving traffic slow moving,2024-01-30 22:06:02.276+00,2024-01-30 22:42:27.016248+00,22.0,False,False,False,False,False,False,36.41233746666667
FKID000063,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,bmtc_bus,Jnanabharathi,Unknown,Unknown,12.9513113,77.4994888,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,2024-01-30 23:12:23.123+00,2024-01-31 00:35:36.782614+00,23.0,False,False,False,False,False,False,83.22766023333334
FKID000066,tree_fall,unplanned,closed,Low,False,Non-corridor,not_applicable,J.P. Nagar,Unknown,Unknown,12.9165983,77.583705,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,2024-03-07 20:58:06.297+00,2024-03-08 02:19:20.587942+00,20.0,False,False,False,False,False,False,321.23818236666665
FKID000069,vehicle_breakdown,unplanned,closed,High,False,West of Chord Road,bmtc_bus,Vijayanagara,Unknown,Unknown,12.9740913,77.5452252,Vehicle movment very slow,2024-01-31 00:33:27.663+00,2024-01-31 01:17:38.964363+00,0.0,False,True,False,False,False,False,44.18835605
FKID000070,vehicle_breakdown,unplanned,closed,High,False,West of Chord Road,bmtc_bus,Vijayanagara,Unknown,Unknown,12.9740971,77.5449011,,2024-01-31 00:36:02.277+00,2024-01-31 01:17:50.142637+00,0.0,False,True,False,False,False,False,41.797760616666665
FKID000071,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,auto,Chamarajpet,Unknown,Unknown,12.9688926,77.569795,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",2024-01-31 01:24:44.373+00,2024-01-31 01:50:53.884849+00,1.0,False,False,False,False,False,False,26.158530816666666
FKID000080,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Jnanabharathi,Unknown,Unknown,12.9449039,77.4949618,bmtc bus offroad in front of adishakti temple,2024-03-07 21:25:26.425+00,2024-03-07 21:41:19.772509+00,21.0,False,False,False,False,False,False,15.88912515
FKID000081,tree_fall,unplanned,closed,Low,False,Non-corridor,not_applicable,Pulikeshinagar(F.Town),Unknown,Unknown,12.9873133,77.6163481,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,2024-03-07 21:17:00.312+00,2024-03-07 23:13:49.030632+00,21.0,False,False,False,False,False,False,116.8119772
FKID000086,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,lcv,Electronic City,Unknown,Unknown,12.8482637,77.6713737,Lgv breake down veersandar to [LOCATION] near ec 1,2024-01-31 02:47:16.032+00,2024-01-31 04:10:44.744402+00,2.0,False,False,False,False,False,False,83.47854003333333
FKID000087,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,bmtc_bus,Ashok Nagar,Unknown,Unknown,12.96672,77.6093294,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,2024-01-31 05:03:24.794+00,2024-01-31 05:56:09.888569+00,5.0,False,True,False,False,False,False,52.75157615
FKID000088,vehicle_breakdown,unplanned,closed,High,False,ORR North 1,private_bus,Banaswadi,Unknown,Unknown,13.0253205,77.6400845,front wheel tyre burst,2024-03-07 21:35:50.715+00,2024-03-07 22:50:40.247224+00,21.0,False,True,False,False,False,False,74.82553706666666
FKID000093,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,heavy_vehicle,Byatarayanapura,Unknown,Unknown,12.9480512,77.5343585,Nayadahallie towards BHEL incoming side traffic no problem,2024-01-31 04:21:01.833+00,2024-01-31 05:08:43.227334+00,4.0,False,True,False,False,False,False,47.68990556666667
FKID000095,tree_fall,unplanned,closed,Low,False,Non-corridor,not_applicable,R.T. Nagar,Unknown,Unknown,13.0078566,77.5920655,tv tower tree falling,2024-03-07 21:47:02.8+00,2024-03-07 21:55:40.010876+00,21.0,False,False,False,False,False,False,8.620181266666666
FKID000107,vehicle_breakdown,unplanned,closed,High,False,ORR West 1,others,Banashankari,Unknown,Unknown,12.9238693,77.5536044,Vehicle off road @ [PERSON] due to clutch problem,2024-01-31 05:41:26.253+00,2024-01-31 08:02:27.928046+00,5.0,False,True,False,False,False,False,141.02791743333333
FKID000113,construction,unplanned,closed,High,False,Bellary Road 1,not_applicable,Hebbala,Unknown,Unknown,13.0331905,77.5901915,keb cable work @anand [PERSON],2024-03-07 22:40:56.72+00,2024-03-08 07:46:19.124181+00,22.0,False,True,False,False,False,False,545.3734030166667
FKID000122,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,Basavanagudi,Unknown,Unknown,12.9392829,77.5596125,bbmp tree cut maduvaru bandiruttare sir.,2024-03-07 23:06:49.704+00,2024-03-08 00:08:37.381719+00,23.0,True,False,False,False,False,False,61.79462865
FKID000123,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,lcv,Chamarajpet,Unknown,Unknown,12.9614398,77.5600867,heat,2024-01-31 08:57:24.573+00,2024-01-31 10:39:45.991392+00,8.0,False,True,False,False,False,False,102.3569732
FKID000131,vehicle_breakdown,unplanned,closed,High,False,Bellary Road 2,heavy_vehicle,Yelahanka,Unknown,Unknown,13.114305,77.60655,[LOCATION] onflyover to wards airport hgv lary tyer bust sir,2024-01-31 20:34:20.329+00,2024-01-31 22:16:52.605981+00,20.0,False,True,False,False,False,False,102.53794968333334
FKID000132,vehicle_breakdown,unplanned,closed,High,False,Magadi Road,bmtc_bus,Kamakshipalya,Unknown,Unknown,12.9900159,77.5025425,Brekdown traffick slov momnet,2024-01-31 20:33:08.407+00,2024-01-31 22:19:37.431017+00,20.0,False,True,False,False,False,False,106.48373361666667
FKID000134,vehicle_breakdown,unplanned,closed,High,True,Hosur Road,heavy_vehicle,Madiwala,Unknown,Unknown,12.9216832,77.6199372,ಅಯ್ಯಪ್ಪ ಜಂಕ್ಷನ್ ಇಂದ ಹೋಗುವ ಮಾರ್ಗ ಮಧ್ಯೆ ಕಸದ ಲಾರಿ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಸರ್,2024-01-31 19:45:59.207+00,2024-01-31 21:01:20.76215+00,19.0,True,True,False,False,False,False,75.3592525
FKID000138,pot_holes,unplanned,closed,Low,True,Non-corridor,not_applicable,K.R. Pura,Unknown,Unknown,13.0161873,77.7093516,Path holes traffic slow movement sir,2024-01-21 00:50:18.118+00,2024-01-21 06:55:31.729035+00,0.0,True,False,False,False,False,False,365.2268505833334
FKID000142,water_logging,unplanned,closed,High,False,ORR East 1,not_applicable,HAL Old Airport,Unknown,Unknown,12.938565,77.6979933,panathur towards doddakannelli road bad condition  consider bbmp informed,2024-03-07 23:17:27.277+00,2024-03-08 00:07:25.634007+00,23.0,False,True,False,False,False,False,49.972616783333336
FKID000143,vehicle_breakdown,unplanned,closed,High,True,Mysore Road,bmtc_bus,Halasuru Gate,Unknown,Unknown,12.9690624,77.5872736,bmtc bus breck down startig agatilla sir,2024-03-07 23:36:30.807+00,2024-03-08 01:28:08.082546+00,23.0,True,True,False,False,False,False,111.6212591
FKID000157,vehicle_breakdown,unplanned,closed,High,False,Hosur Road,bmtc_bus,Electronic City,Unknown,Unknown,12.8700974,77.6533824,ಹೊಸ ರೋಡ್ ಸಿಗ್ನಲ್ ಸರ್ ಟೂ ವರ್ಡ್ಸ್ ಹೊಸೂರ ಸ್ಟಾರ್ಟೆರ್ ಪ್ರಾಬ್ಲಮ್ ವೀಲ್ ಜಾಮ್ ಸರ್,2024-03-08 00:00:08.664+00,2024-03-08 00:52:58.583674+00,0.0,False,True,False,False,False,False,52.83199456666667
FKID000161,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Jnanabharathi,Unknown,Unknown,12.9793286,77.5105419,30 minutes clear bmtc bus air pipe cut agide,2024-03-08 00:49:05.768+00,2024-03-08 02:10:33.944267+00,0.0,False,False,False,False,False,False,81.46960444999999
FKID000162,others,unplanned,closed,High,False,Mysore Road,not_applicable,Byatarayanapura,Unknown,Unknown,12.94819783,77.53467664,Vehicle starting problem,2024-01-31 23:11:54.561+00,2024-01-31 23:27:12.81897+00,23.0,False,True,False,False,False,False,15.3042995
FKID000163,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,R.T. Nagar,Unknown,Unknown,13.022765,77.6014354,tree fall Dinnuru main rd Towards pushpanjali,2024-03-08 00:28:29.411+00,2024-03-08 03:26:38.970263+00,0.0,True,False,False,False,False,False,178.15932105
FKID000166,construction,planned,closed,High,False,Bellary Road 2,not_applicable,Chikkajala,Unknown,Unknown,13.1511992,77.620242,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",2024-02-01 00:08:01.156+00,2024-02-01 00:39:55.771653+00,0.0,False,True,False,False,False,False,31.910260883333333
FKID000171,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,truck,Jnanabharathi,Unknown,Unknown,12.9664142,77.5125512,Starting problem,2024-02-01 00:57:55.555+00,2024-02-01 01:09:43.619479+00,0.0,False,False,False,False,False,False,11.80107465
FKID000172,vehicle_breakdown,unplanned,closed,High,False,Magadi Road,auto,Magadi Road,Unknown,Unknown,12.9758786,77.5643384,traffic normal sir,2024-03-08 01:06:29.002+00,2024-03-08 01:30:59.262294+00,1.0,False,True,False,False,False,False,24.504338233333332
FKID000174,tree_fall,unplanned,closed,Low,False,Non-corridor,not_applicable,J.P. Nagar,Unknown,Unknown,12.9124656,77.5805324,[LOCATION] sir 32 nd main 5 th cross 1 st phase jp nagar tree fallen on road side,2024-03-07 05:51:32.361+00,2024-03-08 02:19:36.479842+00,5.0,False,False,False,False,False,False,1228.0686473666667
FKID000176,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,lcv,Peenya,Unknown,Unknown,13.0378641,77.5222897,[PERSON],2024-02-01 01:56:47.544+00,2024-02-01 03:23:05.299089+00,1.0,False,True,False,False,False,False,86.29591815
FKID000183,vehicle_breakdown,unplanned,closed,High,False,ORR North 1,bmtc_bus,Hebbala,Unknown,Unknown,13.0436683,77.6067467,BMTC volvo bus off road due to wheel jam near lumbini garden towards veeranapalya sir,2024-02-01 02:41:28.522+00,2024-02-01 03:00:18.952393+00,2.0,False,True,False,False,False,False,18.84050655
FKID000184,vehicle_breakdown,unplanned,closed,High,False,Bellary Road 1,lcv,Sadashivanagar,Unknown,Unknown,13.0145688,77.5835164,tyre puncture,2024-02-01 03:01:29.624+00,2024-02-01 03:25:08.109558+00,3.0,False,True,False,False,False,False,23.641425966666667
FKID000185,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,lcv,Yeshwanthpura,Unknown,Unknown,13.0186759,77.5588615,10minutes it will be cleared sir,2024-03-08 04:17:45.45+00,2024-03-08 04:54:15.69038+00,4.0,False,True,False,False,False,False,36.504006333333336
FKID000186,vehicle_breakdown,unplanned,closed,High,True,Mysore Road,ksrtc_bus,Byatarayanapura,Unknown,Unknown,12.9494883,77.5368741,,2024-03-08 04:15:18.097+00,2024-03-08 04:38:41.06637+00,4.0,True,True,False,False,False,False,23.382822833333332
FKID000187,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,others,R.T. Nagar,Unknown,Unknown,13.0229482,77.601028,traffic slow,2024-03-08 04:24:30.158+00,2024-03-08 06:08:42.966646+00,4.0,False,False,False,False,False,False,104.21347743333334
FKID000188,vehicle_breakdown,unplanned,closed,High,False,Bellary Road 1,private_bus,High ground,Unknown,Unknown,12.9928917,77.5854867,Private Bus Cluch fail ..vehicle stopped in side Road  ..traffic moving side road,2024-02-01 02:03:46.297+00,2024-02-01 03:30:03.944545+00,2.0,False,True,False,False,False,False,86.29412574999999
FKID000189,vehicle_breakdown,unplanned,closed,High,False,Old Airport Road,private_car,Jeevanbheemanagar,Unknown,Unknown,12.9625233,77.6415686,,2024-03-08 04:27:41.649+00,2024-03-08 05:38:32.809488+00,4.0,False,True,False,False,False,False,70.8526748
FKID000197,vehicle_breakdown,unplanned,closed,High,False,Magadi Road,heavy_vehicle,Kamakshipalya,Unknown,Unknown,12.9891874,77.5070709,Wheel Puncher..,2024-03-08 04:03:17.004+00,2024-03-08 05:16:15.189498+00,4.0,False,True,False,False,False,False,72.9697583
FKID000199,construction,unplanned,closed,High,False,Bellary Road 2,not_applicable,Chikkajala,Unknown,Unknown,13.16120295,77.62691818,Road work,2024-02-01 04:22:39.844+00,2024-02-01 05:23:27.747063+00,4.0,False,True,False,False,False,False,60.798384383333335
FKID000202,others,unplanned,closed,High,False,Bannerghata Road,not_applicable,Hulimavu,Unknown,Unknown,12.8569988,77.5889807,BMTS bus offload in gottigere bus stop.starting problam,2024-02-01 05:05:45.838+00,2024-02-01 07:05:21.281728+00,5.0,False,True,False,False,False,False,119.59072880000001
FKID000203,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,bmtc_bus,Wilson Garden,Unknown,Unknown,12.9446407,77.5969852,Vaccum problem,2024-02-01 03:56:43.72+00,2024-02-01 05:15:42.850357+00,3.0,False,False,False,False,False,False,78.98550595
FKID000205,vehicle_breakdown,unplanned,closed,High,False,ORR North 2,truck,Jalahalli,Unknown,Unknown,13.0414238,77.545608,,2024-03-08 05:42:27.352+00,2024-03-08 08:00:29.228983+00,5.0,False,True,False,False,False,False,138.03128305
FKID000206,vehicle_breakdown,unplanned,closed,High,False,Old Airport Road,lcv,Jeevanbheemanagar,Unknown,Unknown,12.95983785,77.64811735,Vehicle breakdown at old airport road opp [PERSON] hotel,2024-02-01 05:57:58.222+00,2024-02-01 06:26:20.828469+00,5.0,False,True,False,False,False,False,28.376774483333335
FKID000208,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,bmtc_bus,Jayanagara,Unknown,Unknown,12.9197329,77.5835635,,2024-03-08 05:42:59.334+00,2024-03-08 07:16:02.715079+00,5.0,False,False,False,False,False,False,93.05635131666666
FKID000214,vehicle_breakdown,unplanned,closed,High,False,Hosur Road,others,Electronic City,Unknown,Unknown,12.8885722,77.640446,Traffic no problem sir,2024-02-01 06:35:40.613+00,2024-02-01 06:47:10.432997+00,6.0,False,True,False,False,False,False,11.49699995
FKID000218,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Chamarajpet,Unknown,Unknown,12.9679023,77.5680413,vehicle starting problem sir,2024-03-08 06:26:58.707+00,2024-03-08 09:46:52.076509+00,6.0,False,False,False,False,False,False,199.88949181666666
FKID000224,vehicle_breakdown,unplanned,closed,High,False,Hosur Road,private_bus,Madiwala,Unknown,Unknown,12.9013118,77.6322397,Private bus offroaded on ec flyover inbetween gb palya towords Hongsandra metro staion towords bommanahalli traffic movement slow ide sir,2024-02-01 08:30:57.503+00,2024-02-01 09:45:59.739466+00,8.0,False,True,False,False,False,False,75.03727443333334
FKID000226,others,unplanned,closed,High,False,Hennur Main Road,not_applicable,K.G. Halli,Unknown,Unknown,13.0379483,77.6257684,bmtc bus is stucked at service road,2024-03-08 06:28:21.435+00,2024-03-08 07:12:13.898908+00,6.0,False,True,False,False,False,False,43.87439846666667
FKID000234,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,others,Yeshwanthpura,Unknown,Unknown,13.0176948,77.553788,There is a bit of traffic congestion.,2024-02-01 20:14:54.004+00,2024-02-01 20:37:04.487625+00,20.0,False,True,False,False,False,False,22.174727083333334
FKID000243,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,Jnanabharathi,Unknown,Unknown,12.9441328,77.5010682,,2024-03-08 07:07:56.737+00,2024-03-08 08:53:26.101454+00,7.0,True,False,False,False,False,False,105.48940756666666
FKID000245,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,lcv,Halasuru Gate,Unknown,Unknown,12.9643404,77.5855854,LGV ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,2024-02-01 21:00:35.479+00,2024-02-01 21:58:06.233463+00,21.0,False,True,False,False,False,False,57.51257438333334
FKID000249,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,heavy_vehicle,Peenya,Unknown,Unknown,13.0451384,77.5070153,,2024-02-01 21:11:45.068+00,2024-02-01 21:45:05.395725+00,21.0,False,True,False,False,False,False,33.33879541666667
FKID000250,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,private_bus,Byatarayanapura,Unknown,Unknown,12.9474732,77.5340694,City incoming side BHEL 2nd gate opposite mahindra showroom slow moving traffic,2024-03-08 07:25:21.653+00,2024-03-08 08:04:58.216886+00,7.0,False,True,False,False,False,False,39.6093981
FKID000254,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,private_car,Peenya,Unknown,Unknown,13.0355513,77.5265219,peenya flyover incoming car off road due to starting problem at peenya industry [LOCATION] station on flyover vehicles are one side moving towards goragontepalya.,2024-03-08 07:56:14.949+00,2024-03-08 08:06:24.00691+00,7.0,False,True,False,False,False,False,10.150965166666667
FKID000255,tree_fall,unplanned,closed,Low,True,Non-corridor,not_applicable,Jayanagara,Unknown,Unknown,12.92335,77.58296,,2024-03-08 08:06:30.352+00,2024-03-08 09:12:50.394778+00,8.0,True,False,False,False,False,False,66.3340463
FKID000256,vehicle_breakdown,unplanned,closed,High,False,ORR East 1,bmtc_bus,HAL Old Airport,Unknown,Unknown,12.9390583,77.6946217,ನಮಸ್ಕಾರ ಮೇಡಂ,2024-02-01 23:19:25.609+00,2024-02-01 23:38:32.55904+00,23.0,False,True,False,False,False,False,19.115834
FKID000260,others,unplanned,closed,Low,True,Non-corridor,not_applicable,Sadashivanagar,Unknown,Unknown,13.0145576,77.5696436,ಸದರಿ ವಹಿಕಲ್ ರಸ್ತೆಯಲ್ಲಿ ಬಿಟ್ಟು ಡ್ರೈವರ್ ವಾಹನ ಬಿಟ್ಟು ಹೋಗಿರಿತ್ತಾನೆ ಸರ್.,2024-02-02 01:06:28.867+00,2024-02-02 01:49:26.608998+00,1.0,True,False,False,False,False,False,42.96236663333333
FKID000264,road_conditions,unplanned,closed,Low,False,Non-corridor,not_applicable,Whitefield,Unknown,Unknown,12.9697862,77.7499252,Immadihalli junction,2024-02-02 04:22:15.702+00,2024-02-02 22:49:22.844777+00,4.0,False,False,False,False,False,False,1107.1190462833333
FKID000265,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Whitefield,Unknown,Unknown,12.9228111,77.7365506,Gunjur Govt school Road work traffic slow movement sir,2024-02-02 03:37:48.589+00,2024-02-02 05:05:07.642949+00,3.0,False,False,False,False,False,False,87.31756581666667
FKID000267,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,lcv,Ashok Nagar,Unknown,Unknown,12.96652735,77.60810502,,2024-03-08 08:45:13.15+00,2024-03-08 09:51:21.314291+00,8.0,False,True,False,False,False,False,66.13607151666666
FKID000268,vehicle_breakdown,unplanned,closed,High,False,ORR East 1,bmtc_bus,Bellandur,Unknown,Unknown,12.926187,77.6772301,Call me [PHONE]. Bellandur flyover towards [LOCATION].,2024-02-02 04:47:47.027+00,2024-02-02 05:01:20.101171+00,4.0,False,True,False,False,False,False,13.551236183333334
FKID000271,vehicle_breakdown,unplanned,closed,High,False,Tumkur Road,others,Yeshwanthpura,Unknown,Unknown,13.029877,77.5377738,Starting problem traffic no issues sir,2024-02-02 05:02:28.323+00,2024-02-02 05:33:06.130065+00,5.0,False,True,False,False,False,False,30.63011775
FKID000273,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,heavy_vehicle,Electronic City,Unknown,Unknown,12.8353407,77.6791817,Hgv vehicle gearbox problem sir,2024-02-02 06:42:32.042+00,2024-02-02 07:01:18.453224+00,6.0,False,False,False,False,False,False,18.7735204
FKID000274,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,lcv,Mico Layout,Unknown,Unknown,12.9163498,77.6122067,Slow traffic movement from 29th main road towards 16th main of [PERSON].,2024-02-02 06:51:47.563+00,2024-02-02 08:08:51.696766+00,6.0,False,False,False,False,False,False,77.0688961
FKID000283,water_logging,unplanned,closed,Low,False,Non-corridor,not_applicable,Halasur,Unknown,Unknown,12.9616717,77.6308433,,2024-03-08 09:08:49.43+00,2024-03-08 22:49:42.162172+00,9.0,False,False,False,False,False,False,820.8788695333334
FKID000294,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Sheshadripuram,Unknown,Unknown,12.9827733,77.5622665,Fire accident,2024-02-02 10:56:03.633+00,2024-02-02 11:21:25.690763+00,10.0,False,False,False,False,False,False,25.367629383333334
FKID000299,vehicle_breakdown,unplanned,closed,High,False,Mysore Road,heavy_vehicle,Byatarayanapura,Unknown,Unknown,12.9520875,77.5407653,Good morning sir out going side near [PERSON] temple vehicle break down Sir traffic normal ide sir,2024-03-08 18:19:44.59+00,2024-03-08 18:35:30.90598+00,18.0,False,True,False,False,False,False,15.771932999999999
FKID000301,accident,unplanned,closed,High,False,Old Airport Road,unknown,Jeevanbheemanagar,Unknown,Unknown,12.9595784,77.6492766,Self and small accindent tata ace [PERSON] breaked near [LOCATION] to towards city traffic slow moving sir 🙏,2024-02-02 19:05:48.642+00,2024-02-02 19:41:46.031809+00,19.0,False,True,False,False,False,False,35.956496816666665
FKID000309,others,unplanned,closed,High,False,Mysore Road,not_applicable,Jnanabharathi,Unknown,Unknown,12.9357223,77.5134413,Battery issue,2024-02-02 21:22:52.364+00,2024-02-02 21:39:56.126739+00,21.0,False,True,False,False,False,False,17.062712316666666
FKID000313,vehicle_breakdown,unplanned,closed,Low,False,Non-corridor,lcv,K.R. Pura,Unknown,Unknown,13.0200506,77.7094059,ಭಟ್ಟರಹಳ್ಳಿ ಜಂಕ್ಷನ್ ನಿಂದ ಮೇಡಳ್ಳಿ ಜಂಕ್ಷನ್ ಹೋಗುವ ಕಡೆ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿ ನಿಂತಿದೆ ಸಾರ್,2024-02-02 21:52:18.741+00,2024-02-02 22:27:35.660943+00,21.0,False,False,False,False,False,False,35.281999049999996
FKID000315,others,unplanned,closed,Low,False,Non-corridor,not_applicable,Bellandur,Unknown,Unknown,12.9137365,77.6774246,[PERSON] at kaikondralli,2024-02-02 22:16:40.569+00,2024-02-02 22:17:46.249563+00,22.0,False,False,False,False,False,False,1.0946760500000001
FKID000321,vehicle_breakdown,unplanned,closed,High,False,ORR West 1,private_car,J.P. Nagar,Unknown,Unknown,12.9061591,77.5856052,,2024-02-03 00:09:29.436+00,2024-02-03 00:29:42.108205+00,0.0,False,True,False,False,False,False,20.211203416666667
