event_id,lat,lon,event_cause,severity_tier,closure_risk,f4_risk,type_closure_rate,expected_clearance_min,p90_buffer_min,recommended_personnel,barricade,diversion,resource_hold_min,review_flag,night_flag,location_name,notes
FKID000035,12.9666885,77.6616396,pot_holes,Low,0.035,0.035,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000036,12.9789228,77.5644032,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,False,,[]
FKID000037,12.8636494,77.6725849,accident,Low,0.032,0.032,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000038,12.9219483,77.6002467,vehicle_breakdown,Low,0.043,0.037,0.043,41,113,1,False,False,113,False,False,,[]
FKID000039,12.9666597,77.661556,pot_holes,Low,0.035,0.035,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000040,12.946469,77.6986754,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000041,12.9936273,77.5844677,others,Medium,0.15,0.15,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000042,12.9465079,77.6986339,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID000043,13.0467058,77.5036495,vehicle_breakdown,Low,0.043,0.025,0.043,41,113,1,False,False,113,False,False,,[]
FKID000044,13.0166142,77.5054464,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,False,,[]
FKID000045,13.0085677,77.6131497,construction,High,0.849,0.849,0.265,296,1420,4,True,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000046,13.0309717,77.5364661,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID000047,13.0262806,77.5442344,others,Medium,0.086,0.026,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000048,12.9938639,77.5844374,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000049,12.9188682,77.6687736,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,False,,[]
FKID000050,12.9546127,77.6423399,congestion,Medium,0.044,0.032,0.044,72,97,2,False,False,97,False,False,,[]
FKID000051,12.936133,77.5187044,vehicle_breakdown,Low,0.06,0.06,0.043,41,113,1,False,False,113,False,False,,[]
FKID000052,12.9694079,77.7006346,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000053,12.9849833,77.5883633,vehicle_breakdown,Low,0.043,0.032,0.043,41,113,1,False,False,113,False,False,,[]
FKID000054,13.0127301,77.5545135,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID000055,12.9842019,77.7336286,road_conditions,High,0.124,0.039,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000056,13.2644465,77.7187627,vehicle_breakdown,Low,0.078,0.078,0.043,41,113,1,False,False,113,False,False,,[]
FKID000057,12.9848257,77.7527586,vehicle_breakdown,Low,0.043,0.038,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000058,12.9932986,77.5837571,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000059,12.9937523,77.5842482,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000060,12.9938868,77.5841876,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000061,12.9368467,77.6928653,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000062,13.0126766,77.5581246,tree_fall,High,0.439,0.439,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000063,12.9513113,77.4994888,vehicle_breakdown,Low,0.097,0.097,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000064,13.0160964,77.5068555,vehicle_breakdown,Low,0.067,0.067,0.043,41,113,1,False,False,113,False,False,,[]
FKID000065,12.9807501,77.6028238,pot_holes,Low,0.134,0.134,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000066,12.9165983,77.583705,tree_fall,High,0.414,0.414,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000067,13.0198619,77.6562235,pot_holes,Low,0.03,0.03,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000068,13.0191848,77.6555127,pot_holes,Low,0.032,0.032,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000069,12.9740913,77.5452252,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000070,12.9740971,77.5449011,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000071,12.9688926,77.569795,vehicle_breakdown,Low,0.096,0.096,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000072,12.9838737,77.5286068,pot_holes,Low,0.028,0.028,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000073,12.9595586,77.5162093,others,Medium,0.086,0.039,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000074,12.9511354,77.5739687,vehicle_breakdown,Low,0.043,0.028,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000075,13.0192138,77.5395595,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000076,12.9161187,77.5856548,pot_holes,Low,0.045,0.045,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000077,12.9284355,77.6811918,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000078,13.0753282,77.4370383,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,False,,[]
FKID000079,13.2673624,77.7195893,vehicle_breakdown,Low,0.078,0.078,0.043,41,113,1,False,False,113,False,False,,[]
FKID000080,12.9449039,77.4949618,others,Medium,0.086,0.059,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000081,12.9873133,77.6163481,tree_fall,High,0.441,0.441,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000082,12.969418,77.7006526,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000083,12.9613232,77.5644194,others,Medium,0.126,0.126,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000084,12.959419,77.5165897,others,Medium,0.086,0.039,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000085,12.9431035,77.6220445,pot_holes,Low,0.037,0.037,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000086,12.8482637,77.6713737,vehicle_breakdown,Low,0.043,0.03,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000087,12.96672,77.6093294,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000088,13.0253205,77.6400845,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,False,,[]
FKID000089,12.8561783,77.6645205,vehicle_breakdown,Low,0.043,0.028,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000090,12.9641056,77.5825203,water_logging,High,0.514,0.514,0.085,113,1066,4,True,True,113,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000091,12.974757,77.5657216,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000092,12.9640011,77.5836093,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000093,12.9480512,77.5343585,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000094,12.9245654,77.6739287,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000095,13.0078566,77.5920655,tree_fall,High,0.394,0.326,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000096,13.0035862,77.5721203,tree_fall,High,0.439,0.439,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000097,12.9854129,77.5941024,others,Medium,0.086,0.058,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000098,12.9272622,77.5806774,tree_fall,High,0.527,0.527,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000099,13.0022504,77.5722138,tree_fall,High,0.507,0.507,0.394,90,1140,4,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000100,12.9586724,77.5629452,tree_fall,High,0.394,0.31,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000101,13.0369808,77.5895122,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000102,12.9169077,77.5737827,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000103,12.9047066,77.6016042,pot_holes,Low,0.026,0.026,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000104,12.9047995,77.6017019,pot_holes,Low,0.026,0.026,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000105,12.9774707,77.5457303,water_logging,High,0.085,0.036,0.085,113,1066,3,False,True,113,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000106,12.904781,77.6015741,pot_holes,Low,0.026,0.026,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000107,12.9238693,77.5536044,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000108,12.9585656,77.5932824,others,Medium,0.094,0.094,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000109,12.9601533,77.5633429,tree_fall,High,0.394,0.31,0.394,90,1140,3,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000110,12.9578001,77.5631189,tree_fall,High,0.424,0.424,0.394,90,1140,3,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000111,12.95836,77.5776317,vehicle_breakdown,Low,0.053,0.053,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000112,12.9187567,77.621505,pot_holes,Low,0.024,0.017,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000113,13.0331905,77.5901915,construction,High,0.265,0.063,0.265,296,1420,3,False,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000114,12.9360494,77.6154975,vehicle_breakdown,Low,0.312,0.312,0.043,41,113,1,True,False,113,False,False,,[]
FKID000115,12.9784088,77.6285392,water_logging,High,0.085,0.047,0.085,113,1066,3,False,True,113,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000116,12.9873237,77.6037885,pot_holes,Low,0.085,0.085,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000117,13.0190323,77.654465,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000118,13.0446713,77.5828869,congestion,Medium,0.044,0.022,0.044,72,97,2,False,False,97,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000119,12.9119892,77.6254956,vehicle_breakdown,Low,0.043,0.027,0.043,41,113,1,False,False,113,False,False,,[]
FKID000120,12.9893579,77.5064443,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000121,13.0152581,77.5639687,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID000122,12.9392829,77.5596125,tree_fall,High,0.518,0.518,0.394,90,1140,4,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000123,12.9614398,77.5600867,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,False,,[]
FKID000124,12.9194445,77.6215536,vehicle_breakdown,Low,0.043,0.027,0.043,41,113,1,False,False,113,False,False,,[]
FKID000125,13.0501731,77.4947759,construction,High,0.265,0.129,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000126,12.8400906,77.6764868,accident,Low,0.032,0.032,0.03,40,89,1,False,False,89,False,False,,[]
FKID000127,13.042636,77.5147881,accident,Low,0.116,0.116,0.03,40,89,1,False,False,89,False,False,,[]
FKID000128,12.9110914,77.6001308,vehicle_breakdown,Low,0.043,0.037,0.043,41,113,1,False,False,113,False,False,,[]
FKID000129,12.9516567,77.500185,others,Medium,0.086,0.037,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000130,12.9698017,77.7319617,pot_holes,Low,0.024,0.021,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000131,13.114305,77.60655,vehicle_breakdown,Low,0.043,0.035,0.043,41,113,1,False,False,113,False,False,,[]
FKID000132,12.9900159,77.5025425,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID000133,13.0424443,77.5147257,accident,Low,0.116,0.116,0.03,40,89,1,False,False,89,False,False,,[]
FKID000134,12.9216832,77.6199372,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,False,,[]
FKID000135,13.0467369,77.575502,others,Medium,0.086,0.079,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000136,13.0427379,77.5892891,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID000137,13.0308555,77.5359082,vehicle_breakdown,Low,0.046,0.046,0.043,41,113,1,False,False,113,False,False,,[]
FKID000138,13.0161873,77.7093516,pot_holes,Low,0.208,0.208,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000139,12.9693576,77.7006406,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000140,12.9625526,77.5916298,vehicle_breakdown,Low,0.114,0.114,0.043,41,113,1,False,False,113,False,False,,[]
FKID000141,12.9893817,77.5927844,others,Medium,0.086,0.079,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000142,12.938565,77.6979933,water_logging,High,0.085,0.031,0.085,113,1066,3,False,True,113,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000143,12.9690624,77.5872736,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000144,12.961311,77.55932,tree_fall,High,0.394,0.31,0.394,90,1140,3,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000145,12.9146696,77.5640607,road_conditions,High,0.124,0.092,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000146,12.9173038,77.5882958,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,False,,[]
FKID000147,12.9144686,77.5650362,road_conditions,High,0.124,0.046,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000148,12.9144815,77.5650493,road_conditions,High,0.124,0.046,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000149,12.9113626,77.5999548,vehicle_breakdown,Low,0.043,0.037,0.043,41,113,1,False,False,113,False,False,,[]
FKID000150,12.9353705,77.5182037,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,False,,[]
FKID000151,12.9216444,77.5940415,tree_fall,High,0.527,0.527,0.394,90,1140,4,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000152,12.9246541,77.6497438,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000153,12.9145147,77.5649877,road_conditions,High,0.124,0.046,0.124,246,918,3,False,True,246,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000154,12.9145447,77.5650079,road_conditions,High,0.124,0.046,0.124,246,918,3,False,True,246,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000155,12.9635928,77.6263774,vehicle_breakdown,Low,0.043,0.029,0.043,41,113,1,False,False,113,False,False,,[]
FKID000156,13.0310785,77.5357035,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,False,,[]
FKID000157,12.8700974,77.6533824,vehicle_breakdown,Low,0.043,0.027,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000158,12.9762232,77.6016656,construction,High,0.372,0.372,0.265,296,1420,3,True,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000159,12.9211317,77.6627683,water_logging,High,0.085,0.04,0.085,113,1066,3,False,True,113,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID000160,12.9832059,77.5766759,vehicle_breakdown,Low,0.043,0.033,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID000161,12.9793286,77.5105419,others,Medium,0.086,0.059,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000162,12.94819783,77.53467664,others,Medium,0.086,0.039,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000163,13.022765,77.6014354,tree_fall,High,0.394,0.326,0.394,90,1140,3,True,True,90,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000164,12.9943131,77.617972,pot_holes,Low,0.033,0.033,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID000165,13.0071299,77.5267687,vehicle_breakdown,Low,0.043,0.025,0.043,41,113,1,False,False,113,False,False,,[]
